1:Date;2:Time;3:Temperature_Comedor_Sensor;4:Temperature_Habitacion_Sensor;5:Weather_Temperature;6:CO2_Comedor_Sensor;7:CO2_Habitacion_Sensor;8:Humedad_Comedor_Sensor;9:Humedad_Habitacion_Sensor;10:Lighting_Comedor_Sensor;11:Lighting_Habitacion_Sensor;12:Precipitacion;13:Meteo_Exterior_Crepusculo;14:Meteo_Exterior_Viento;15:Meteo_Exterior_Sol_Oest;16:Meteo_Exterior_Sol_Est;17:Meteo_Exterior_Sol_Sud;18:Meteo_Exterior_Piranometro;19:Exterior_Entalpic_1;20:Exterior_Entalpic_2;21:Exterior_Entalpic_turbo;22:Temperature_Exterior_Sensor;23:Humedad_Exterior_Sensor;24:Day_Of_Week
18/04/2012;00:00;20.2;19.8;13;207.84;206.56;31.58;30.16;11.72;14.16;0;0.65;0;0;0;0;-3.12;0;0;0;16.07;39.08;3
18/04/2012;00:15;20.1593;19.76;13;207499;206101;31624;30.0613;11524;14.76;0;0.65;0;0;0;0;-2808;0;0;0;16.04;38968;3
18/04/2012;00:30;20074;19658;13;207.36;206805;31.6507;30.1773;11622;14.9547;0;0.65;88;0;0;0;-2964;0;0;0;16016;38.9467;3
18/04/2012;00:45;19.9773;19.5833;13;207445;206325;31.6987;30256;11.7847;15052;0;0.65;0.127333;0;0;0;-3.02933;0;0;0;15.9427;39076;3
18/04/2012;01:00;19.8933;19.5;13;207.84;205952;31.7707;30384;11.5887;15.2147;0;0.65;0;0;0;0;-2886;0;0;0;15.8627;40.0413;3
18/04/2012;01:15;19.8127;19.43;13;207648;206357;31912;30.4173;11.6053;15.2147;0;0.65;0;0;0;0;-2886;0;0;0;15.6847;41.6613;3
18/04/2012;01:30;19722;19.3713;13.5333;207701;207893;31.98;30.4333;11622;15.1333;0;0.65;36;0;0;0;-2964;0;0;0;15.5567;41.4747;3
18/04/2012;01:45;19.6387;19.27;17;208309;207637;32.08;30.6787;11.6867;15.2467;0;0.65;0;0;0;0;-2886;0;0;0;15506;41.24;3
18/04/2012;02:00;19.5613;19204;17;208384;206656;32.2693;30776;11768;15.2307;0;0.65;0.37;0;0;0;-2886;0;0;0;15.52;41.5947;3
18/04/2012;02:15;19468;19.1133;17;208512;206176;32.6733;31.1107;11524;15.2467;0;0.65;1.32067;0;0;0;-2886;0;0;0;15.7093;41.2627;3
18/04/2012;02:30;19.3933;19.0393;17;207947;206101;32.7653;31.4027;11622;15.1493;0;0.65;1.72333;0;0;0;-2886;0;0;0;15.9513;41372;3
18/04/2012;02:45;19.33;18.9773;17;207616;206016;32948;31.6347;11.6867;15.1333;0;0.65;1.84067;0;0;0;-3.12;0;0;0;16.1233;41936;3
18/04/2012;03:00;19298;18942;17;208075;205536;33.2053;31.8293;11.7847;15.1653;0;0.65;1.88533;0;0;0;-3.12;0;0;0;16312;41.8093;3
18/04/2012;03:15;19.2367;18.9053;17;207904;203904;33452;32.1533;11.6053;15.2147;0;0.65;1.64267;0;0;0;-2964;0;0;0;16468;42.1773;3
18/04/2012;03:30;19.19;18.8447;16.8667;207733;203765;33632;32.2413;11.8493;15.2307;0;0.65;1.71333;0;0;0;-3.12;0;0;0;16.55;43.12;3
18/04/2012;03:45;19.1447;18816;16;206667;203232;33.8213;32364;11.6867;15.5227;0;0.65;1.53667;0;0;0;-2964;0;0;0;16.5767;44.1173;3
